,age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome
18340,32,234,4,999,0,1.4,93.918,-42.7,4.968,5228.1,1,2,3,0,0,0,1,3,2,1
21709,60,332,3,999,0,1.4,93.444,-36.1,4.963,5228.1,5,1,0,1,0,0,0,1,3,1
31592,36,131,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,1,1,7,0,2,0,0,6,2,1
6807,51,160,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,1,1,1,6,4,1
6813,36,386,3,999,0,1.1,93.994,-36.4,4.857,5191.0,2,1,6,0,0,0,1,6,4,1
28314,46,201,2,999,0,-1.8,93.075,-47.1,1.445,5099.1,7,1,3,0,2,0,0,0,4,1
28615,30,244,3,999,0,-1.8,93.075,-47.1,1.415,5099.1,4,2,6,0,0,0,0,0,4,1
40617,33,369,3,999,0,-1.1,94.199,-37.5,0.882,4963.6,0,1,6,0,0,0,0,9,1,1
35478,36,264,1,10,1,-1.8,92.893,-46.2,1.244,5099.1,0,1,3,1,2,2,0,6,1,2
29337,27,48,2,999,1,-1.8,93.075,-47.1,1.405,5099.1,10,2,2,0,0,0,0,0,0,0
7307,37,73,3,999,0,1.1,93.994,-36.4,4.86,5191.0,7,1,3,1,2,2,1,6,2,1
35384,50,1326,6,999,1,-1.8,92.893,-46.2,1.25,5099.1,2,1,3,0,2,2,0,6,0,0
31360,37,130,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,7,1,3,0,2,0,0,6,4,1
30127,24,170,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,9,2,6,0,2,0,0,0,2,1
11987,31,91,2,999,0,1.4,94.465,-41.8,4.958,5228.1,3,1,0,0,0,0,1,4,4,1
34270,30,29,8,999,1,-1.8,92.893,-46.2,1.266,5099.1,0,2,3,0,2,0,0,6,2,0
6537,33,307,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,0,1,6,4,1
20971,49,260,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0,1,6,0,2,0,0,1,2,1
2859,49,170,2,999,0,1.1,93.994,-36.4,4.859,5191.0,1,1,2,1,2,0,1,6,4,1
20363,31,191,1,999,0,1.4,93.444,-36.1,4.966,5228.1,9,2,3,0,0,0,0,1,3,1
14023,30,154,2,999,0,1.4,93.918,-42.7,4.963,5228.1,10,1,2,0,0,0,0,3,0,1
13837,29,404,1,999,0,1.4,93.918,-42.7,4.963,5228.1,9,1,7,0,2,0,0,3,0,1
23887,41,264,1,999,0,1.4,93.444,-36.1,4.963,5228.1,9,1,5,0,2,2,0,1,0,1
22861,40,23,12,999,0,1.4,93.444,-36.1,4.965,5228.1,0,1,6,0,0,0,0,1,1,1
10868,41,122,1,999,0,1.4,94.465,-41.8,4.962,5228.1,1,0,0,0,2,0,1,4,4,1
318,42,173,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,0,1,6,1,1
11458,37,115,4,999,0,1.4,94.465,-41.8,4.959,5228.1,7,1,3,0,0,0,1,4,0,1
39714,34,407,3,8,3,-1.8,93.876,-40.0,0.695,5008.7,0,1,6,0,2,0,0,6,0,0
13847,51,48,1,999,0,1.4,93.918,-42.7,4.963,5228.1,7,2,1,0,2,0,0,3,0,1
5423,39,61,2,999,0,1.1,93.994,-36.4,4.857,5191.0,3,1,3,0,2,0,1,6,0,1
2304,33,207,1,999,0,1.1,93.994,-36.4,4.856,5191.0,9,0,3,0,0,0,1,6,3,1
2073,39,281,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,3,0,0,0,1,6,1,1
12069,27,244,2,999,0,1.4,94.465,-41.8,4.947,5228.1,6,2,6,0,2,0,1,4,0,1
17556,36,310,5,999,0,1.4,93.918,-42.7,4.962,5228.1,4,2,6,0,0,0,0,3,1,1
10893,43,1487,1,999,0,1.4,94.465,-41.8,4.962,5228.1,6,1,6,1,2,2,1,4,4,1
17366,42,95,2,999,0,1.4,93.918,-42.7,4.962,5228.1,6,1,6,1,0,2,0,3,1,1
30218,35,375,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,4,1,6,0,0,0,0,0,2,1
27918,28,300,1,999,0,-1.8,92.843,-50.0,1.531,5099.1,0,2,3,0,2,0,0,5,0,1
5126,47,322,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,2,0,0,2,1,6,0,1
24194,55,142,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,2,6,1,0,0,0,7,1,1
30874,34,245,5,999,0,-1.8,92.893,-46.2,1.344,5099.1,7,1,3,1,0,0,0,6,3,1
25304,34,87,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,1,1,0,0,2,0,0,7,3,1
22778,44,136,10,999,0,1.4,93.444,-36.1,4.965,5228.1,6,1,2,1,0,0,0,1,1,1
12199,39,218,2,999,0,1.4,93.918,-42.7,4.956,5228.1,1,1,7,1,0,0,1,3,4,1
6841,49,249,2,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,0,1,6,4,1
5645,36,90,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,2,3,1,0,0,1,6,1,1
8110,37,179,7,999,0,1.4,94.465,-41.8,4.865,5228.1,4,1,6,1,0,2,1,4,1,1
19035,37,356,1,999,0,1.4,93.444,-36.1,4.968,5228.1,0,1,6,0,2,0,0,1,3,1
17895,40,635,3,999,0,1.4,93.918,-42.7,4.961,5228.1,0,2,3,0,2,0,0,3,3,1
38236,59,268,1,999,1,-3.4,92.431,-26.9,0.743,5017.5,9,1,6,0,0,0,0,8,1,0
23939,49,21,3,999,0,1.4,93.444,-36.1,4.963,5228.1,1,1,0,1,2,0,0,1,0,1
36720,53,304,2,3,1,-2.9,92.963,-40.8,1.268,5076.2,0,2,6,0,2,0,0,4,0,2
8261,57,171,3,999,0,1.4,94.465,-41.8,4.864,5228.1,1,1,3,1,0,0,1,4,3,1
780,43,261,3,999,0,1.1,93.994,-36.4,4.856,5191.0,9,1,1,0,2,0,1,6,4,1
24985,54,1855,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,2,1,5,0,0,0,0,7,3,1
41085,51,334,2,6,4,-1.1,94.767,-50.8,1.049,4963.6,0,0,3,0,2,2,0,7,3,0
16038,35,123,1,999,0,1.4,93.918,-42.7,4.961,5228.1,1,0,0,0,2,0,0,3,3,1
17204,53,120,1,999,0,1.4,93.918,-42.7,4.962,5228.1,0,1,6,0,0,0,1,3,0,1
24693,53,68,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,2,0,6,0,2,0,0,7,1,1
40292,34,332,3,999,1,-1.7,94.215,-40.3,0.899,4991.6,0,0,6,0,2,0,1,3,2,0
8642,50,763,4,999,0,1.4,94.465,-41.8,4.864,5228.1,3,0,3,1,2,0,1,4,4,1
23493,39,144,10,999,0,1.4,93.444,-36.1,4.962,5228.1,0,1,6,1,0,0,0,1,2,1
33263,27,41,1,999,0,-1.8,92.893,-46.2,1.291,5099.1,8,2,3,0,2,0,0,6,3,1
37896,27,137,2,4,2,-3.4,92.379,-29.8,0.819,5017.5,4,2,6,0,2,0,0,9,3,2
7028,44,106,1,999,0,1.1,93.994,-36.4,4.86,5191.0,1,2,0,0,2,0,1,6,2,1
26959,29,157,2,999,0,-0.1,93.2,-42.0,4.076,5195.8,6,1,6,0,0,0,0,7,2,1
5099,42,72,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,1,2,0,1,6,0,1
28109,31,596,1,999,1,-1.8,93.075,-47.1,1.479,5099.1,9,2,3,0,2,0,0,0,0,0
13418,29,263,2,999,0,1.4,93.918,-42.7,4.962,5228.1,9,1,5,0,0,0,0,3,4,1
1676,60,576,1,999,0,1.1,93.994,-36.4,4.855,5191.0,5,1,6,1,2,0,1,6,0,1
35981,28,315,1,999,0,-1.8,92.893,-46.2,1.264,5099.1,6,2,6,0,0,2,0,6,1,1
36063,28,390,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,1,2,0,2,0,0,6,3,1
31451,40,246,4,999,1,-1.8,92.893,-46.2,1.334,5099.1,7,1,3,0,0,0,0,6,4,0
5017,35,15,19,999,0,1.1,93.994,-36.4,4.858,5191.0,0,1,3,0,0,0,1,6,4,1
14032,36,254,2,999,0,1.4,93.918,-42.7,4.963,5228.1,7,2,3,0,0,0,0,3,0,1
4000,36,190,1,999,0,1.1,93.994,-36.4,4.858,5191.0,1,1,1,1,1,1,1,6,1,1
17454,49,263,1,999,0,1.4,93.918,-42.7,4.962,5228.1,0,1,3,0,2,2,0,3,1,1
4396,47,139,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0,1,6,1,0,2,1,6,3,1
22100,29,220,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1,6,0,0,2,0,1,2,1
7361,35,192,6,999,0,1.1,93.994,-36.4,4.864,5191.0,1,0,2,0,0,2,1,6,0,1
11565,33,110,4,999,0,1.4,94.465,-41.8,4.959,5228.1,0,1,5,0,0,0,1,4,0,1
3945,28,318,1,999,0,1.1,93.994,-36.4,4.858,5191.0,7,2,3,0,2,0,1,6,1,1
5573,44,754,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,0,0,0,1,6,1,1
17027,34,257,2,999,0,1.4,93.918,-42.7,4.962,5228.1,4,2,6,0,0,0,0,3,2,1
6995,48,66,2,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,3,0,0,0,1,6,2,1
3147,38,436,1,999,0,1.1,93.994,-36.4,4.86,5191.0,9,1,5,0,0,0,1,6,2,1
12888,39,297,1,999,0,1.4,93.918,-42.7,4.962,5228.1,7,1,3,0,0,0,0,3,3,1
35018,35,12,5,999,0,-1.8,92.893,-46.2,1.25,5099.1,1,2,0,0,0,0,0,6,0,1
15605,26,200,2,999,0,1.4,93.918,-42.7,4.96,5228.1,0,2,6,0,2,0,0,3,1,1
15035,48,64,1,999,0,1.4,93.918,-42.7,4.958,5228.1,0,1,3,1,2,2,0,3,2,1
35713,41,190,8,999,0,-1.8,92.893,-46.2,1.244,5099.1,1,1,2,0,2,2,0,6,1,1
32004,37,635,2,999,0,-1.8,92.893,-46.2,1.327,5099.1,1,1,1,1,0,0,0,6,2,1
8158,38,267,1,999,0,1.4,94.465,-41.8,4.864,5228.1,9,2,6,0,2,0,1,4,3,1
30790,45,397,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,1,1,0,1,0,2,0,6,3,1
24402,45,696,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,1,1,1,1,2,0,0,7,1,1
11097,36,176,1,999,0,1.4,94.465,-41.8,4.961,5228.1,8,2,2,0,2,0,1,4,2,1
8310,45,825,1,999,0,1.4,94.465,-41.8,4.864,5228.1,1,1,0,1,2,2,1,4,3,1
27014,45,69,9,999,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,6,0,2,2,0,7,0,1
35522,35,88,1,999,1,-1.8,92.893,-46.2,1.244,5099.1,0,0,3,0,2,0,0,6,1,0
10310,40,1238,2,999,0,1.4,94.465,-41.8,4.96,5228.1,1,1,0,1,0,0,1,4,1,1
17864,38,195,1,999,0,1.4,93.918,-42.7,4.961,5228.1,10,1,0,1,0,0,0,3,3,1
28211,39,189,1,999,0,-1.8,93.075,-47.1,1.453,5099.1,0,1,3,0,2,0,1,0,3,1
22716,52,208,1,999,0,1.4,93.444,-36.1,4.964,5228.1,3,1,1,0,2,0,0,1,0,1
32637,37,277,1,9,1,-1.8,92.893,-46.2,1.299,5099.1,2,1,2,0,0,0,0,6,1,2
38467,33,61,2,6,2,-3.4,92.431,-26.9,0.731,5017.5,0,2,3,0,2,0,0,8,1,0
29088,33,382,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,2,6,0,2,0,0,0,0,1
3334,49,282,1,999,0,1.1,93.994,-36.4,4.86,5191.0,1,1,0,1,2,0,1,6,2,1
32197,38,6,5,999,1,-1.8,92.893,-46.2,1.313,5099.1,0,1,3,0,2,0,0,6,0,0
22105,34,286,9,999,0,1.4,93.444,-36.1,4.963,5228.1,9,1,5,0,2,0,0,1,2,1
30689,38,276,1,999,1,-1.8,92.893,-46.2,1.344,5099.1,1,1,2,1,2,0,0,6,3,0
22183,56,141,1,999,0,1.4,93.444,-36.1,4.963,5228.1,6,1,2,0,1,1,0,1,2,1
30463,30,417,1,3,1,-1.8,92.893,-46.2,1.354,5099.1,10,1,3,0,0,0,0,6,1,2
30176,24,413,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,8,2,5,0,2,0,0,0,2,1
2603,36,322,2,999,0,1.1,93.994,-36.4,4.856,5191.0,9,1,7,0,2,0,1,6,3,1
25820,40,59,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,9,1,2,0,0,0,0,7,4,1
36710,29,89,2,999,0,-2.9,92.963,-40.8,1.268,5076.2,7,1,6,0,0,2,0,4,0,1
15645,29,166,1,999,0,1.4,93.918,-42.7,4.96,5228.1,1,1,2,0,2,0,0,3,1,1
29678,46,9,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,1,3,1,2,0,0,0,1,1
8742,51,222,1,999,0,1.4,94.465,-41.8,4.866,5228.1,0,1,3,0,0,2,1,4,2,1
14134,27,306,2,999,0,1.4,93.918,-42.7,4.962,5228.1,7,2,3,0,2,0,0,3,1,1
35669,58,504,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,4,1,6,0,2,0,0,6,1,1
36498,29,101,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,9,2,6,0,2,0,0,4,4,1
1428,43,154,2,999,0,1.1,93.994,-36.4,4.855,5191.0,1,0,0,1,0,0,1,6,2,1
19091,34,104,3,999,0,1.4,93.444,-36.1,4.968,5228.1,9,0,5,0,2,0,0,1,3,1
15495,27,171,7,999,0,1.4,93.918,-42.7,4.957,5228.1,9,2,2,1,0,0,0,3,0,1
26222,53,186,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,4,1,6,0,2,0,0,7,2,1
26255,44,25,8,999,0,-0.1,93.2,-42.0,4.076,5195.8,0,2,5,0,2,0,1,7,2,1
26627,30,74,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,1,1,1,0,2,2,0,7,2,1
20877,32,206,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0,2,6,0,2,0,0,1,2,1
21112,30,638,4,999,0,1.4,93.444,-36.1,4.963,5228.1,9,2,3,0,0,0,0,1,1,1
